insight id,Date,insight title,insight description,Category_ML,Product_Clean,hcp,hco,country,Territory,created by,voting,Is_Actionable,Cat_Access_And_Policy,Cat_Competitor_Intelligence,Cat_Medical_Education_&_Practice,Cat_Operations_And_Diagnostics,Cat_Stakeholder_Mapping,Cat_Strategic_Partnership,Cat_Promotional_Activity
a3XS700000076gbMAA,10/31/2024,Patient 2L BC HER2+ under Enhertu TTT,Many patients under enhertu in 2L HER2+ BC through exceptionnal process -,Competitor Intelligence,General/other,"Marrakchi, Ghassen",Cabinet Dr Ghassan Marrakchi,Tunisia,Oncology,Zeineb Jaafar ep Hafsa,0,1,0,1,0,0,0,0,0
a3XS700000076jpMAA,10/31/2024,Pfizer promotionnal activities ALK+ NSCLC,Pfizer promotional activities crisotinib with preparing the lunch of Lorlatininb -,Competitor Intelligence,General/other,"Ayari, Jihen",Hôpital Militaire de Tunis - Oncology Dept,Tunisia,Oncology,Zeineb Jaafar ep Hafsa,1,1,0,1,0,0,0,0,0
a3XS700000076n3MAA,10/31/2024,MA Favourable opinion IMbrave150,According to expert feedback we have a favourable opinion MA tecentriq in HCc -,Access & Policy,Tecentriq,"Mezlini, Amel",Institut Salah Azeiz,Tunisia,Oncology,Zeineb Jaafar ep Hafsa,0,1,1,0,0,0,0,0,0
a3XS70000008CiLMAU,12/7/2024,Sfax: kadcyla is indicated mainly in eBc,"Sfax hospital: kadcyla is indicated mainly in eBc in adjuvant setting 
mBc : they use enhertu",Competitor Intelligence,Kadcyla,"Toumi, Nabil",Hôpital Habib Bourguiba de Sfax - Oncology Dept,Tunisia,Oncology,Achraf Ben Chaabane,0,1,0,1,0,0,0,0,0
a3XS70000008CjxMAE,12/7/2024,Kadcyla and perjeta: used in eBC,Private sector: algorithm is well established,Medical Education & Practice,"Kadcyla, Perjeta","Marrakchi, Ghassen",Cabinet Dr Ghassan Marrakchi,Tunisia,Oncology,Achraf Ben Chaabane,0,1,0,0,1,0,0,0,0
a3XS70000008CjzMAE,12/7/2024,Sfax hospital: perjeta is  not used very well,"Due to the delay, perjeta is mainly used in mBC",Access & Policy,Perjeta,"Khanfir, Afef",Hôpital Habib Bourguiba de Sfax - Oncology Dept,Tunisia,Oncology,Achraf Ben Chaabane,0,1,1,0,0,0,0,0,0
a3XS70000008ClZMAU,12/7/2024,Delay of access of perjeta mainly ineBC,Delay of access of perjeta mainly ineBC,Access & Policy,Perjeta,"Mokrani, Amina",Institut Salah Azeiz,Tunisia,Oncology,Achraf Ben Chaabane,0,1,1,0,0,0,0,0,0
a3XS70000008CnBMAU,12/7/2024,Gyneco are not involved in the neoadjuvant BC,Gyneco are not involved in the neoadjuvant BC,Medical Education & Practice,General/other,"Bouaziz, Hanen",Institut Salah Azeiz,Tunisia,Oncology,Achraf Ben Chaabane,0,1,0,0,1,0,0,0,0
a3XS70000008CnEMAU,12/7/2024,No radiologists in jendouba,"During the workshop: many gaps were identified: no radiologists, no testing",Operations & Diagnostics,General/other,"Mahjoub, Najet",Hopital regional jandouba,Tunisia,Oncology,Achraf Ben Chaabane,0,1,0,0,0,1,0,0,1
a3XS70000008DCzMAM,12/8/2024,Some Oncologist preferred kadcyla in 2L BC as it has the MA,Doctor preferred the prescription of kadcyla in 2L BC than Enhertu as kadcyla has the MA,Competitor Intelligence,Kadcyla,"Mellouli, Slaheddine",Cabinet Dr Slaheddine Mellouli,Tunisia,Oncology,,0,1,0,1,0,0,0,0,0
a3XS70000008DEbMAM,12/8/2024,Efficacy perjeta in neoadjuvant,50% of patients treated in neoadjuvant with perjeta and trastuzuman have a PCR in ariana department,Medical Education & Practice,Perjeta,"Mejri, Nesrine Turki",Hôpital Abderrahmen Mami De Pneumo-Phtisiologie - Oncology Dept,Tunisia,Oncology,Zeineb Jaafar ep Hafsa,0,1,0,0,1,0,0,0,0
a3XS70000008DEdMAM,12/8/2024,Lung cancer register in tunisia,A national register for lung cancer will be implimented leaded by ariana department with the pharma collaboration,Medical Education & Practice,General/other,"Mejri, Nesrine Turki",Hôpital Abderrahmen Mami De Pneumo-Phtisiologie - Oncology Dept,Tunisia,Oncology,Zeineb Jaafar ep Hafsa,1,1,0,0,1,0,0,0,0
a3XS70000009j7ZMAQ,2/3/2025,SCLC Tunisien Patient not eligble to IMpower133,The expert share that SCLC tunisian patient profile are not eligble to Tecentriq,Medical Education & Practice,Tecentriq,"Mejri, Nesrine Turki",Hôpital Abderrahmen Mami De Pneumo-Phtisiologie - Oncology Dept,Tunisia,Oncology,Zeineb Jaafar ep Hafsa,0,1,0,0,1,0,0,0,0
a3XS70000009jCPMAY,2/3/2025,Perjeta Access Issue in Neoadjuvant indication,the expert report that the national insurance is refusing the perjeta request in the Neoadjuvant indication,Access & Policy,Perjeta,"Ben Ammou, Amel Landolsi",Cabinet Dr Amel Landolsi Ben Ammou,Tunisia,Oncology,Zeineb Jaafar ep Hafsa,0,1,1,0,0,0,0,0,0
a3XS7000000B2HpMAK,2/26/2025,Onco-Gynecology congress,Dr Sassi is planning a big national congress for onco-gynecology will take a big part of the program due to the nature of activities handled by his service. According to him the gynecology service in Sousse handles around 25% of all onco-gyne cases.,Strategic Partnership,General/other,"Bouguizane, Sassi",Hôpital Farhat Hached - Obstetrics & Gynaecology Dept,Tunisia,Oncology,Ayoub Timoumi,0,1,0,0,0,0,0,1,1
a3XS7000000BMLNMA4,3/4/2025,New STOM Bureau,Dr Mehdi Balti as new president of STOM explained to me that the new bureau is setting up the priorities and is open to work with Roche for new partnerships. I shared with him the proposals and proposed to meet again to align on the action plan.,Strategic Partnership,"Kadcyla, Perjeta","Balti, Mehdi",Hôpital Militaire de Tunis - Oncology Dept,Tunisia,Oncology,Ayoub Timoumi,0,1,0,0,0,0,0,1,1
a3XS7000000CbyHMAS,3/28/2025,New national strategy for gynecology services,New national strategy for big gynecology services to choose sub-specialties and work in « poles ». This means that each center will specialise in a given DA. For example in Sousse they chose onco-gynecology and reproduction.,Operations & Diagnostics,Non-Product,"Bouguizane, Sassi",Hôpital Farhat Hached - Obstetrics & Gynaecology Dept,Tunisia,Oncology,Ayoub Timoumi,0,0,0,0,0,1,0,0,0
a3XS7000000Cc9ZMAS,3/28/2025,Increasing trend in patients with bening vs malign breast tumors,According to Dr Bouguizane the number of patients with malign breast cancer treated in his service is increasing compared to benign ones. He estimates that the split is around 70% malign vs 30% benign.,Medical Education & Practice,Non-Product,"Bouguizane, Sassi",Hôpital Farhat Hached - Obstetrics & Gynaecology Dept,Tunisia,Oncology,Ayoub Timoumi,0,0,0,0,1,0,0,0,0
a3XS7000000CcG1MAK,3/28/2025,Monthly educational session for the gynecologists,The gynecology service plans a monthly training session for the residents and interns. Each month a different topic is chosen to be discussed. In May a breast cancer is planned and Roche was invited to attend.,Medical Education & Practice,Non-Product,"Bouguizane, Sassi",Hôpital Farhat Hached - Obstetrics & Gynaecology Dept,Tunisia,Oncology,Ayoub Timoumi,0,1,0,0,1,0,0,0,0
a3XS7000000CcKrMAK,3/28/2025,Big Onco-gynecology Educational days are planned for October 2025,Dr Bouguizane is planning a two days educational event with Dr Badis Channoufi and other gynecologists. The attendance is estimated at 550 between medical students and HCPs. The event will take place on 24-25 october and a big focus will be given to oncology. Roche is invited to participate and invite a speaker to present the management of early BC and the latest recommendations.,Medical Education & Practice,Non-Product,"Bouguizane, Sassi",Hôpital Farhat Hached - Obstetrics & Gynaecology Dept,Tunisia,Oncology,Ayoub Timoumi,0,1,0,0,1,0,0,0,1
a3XS7000000CcRJMA0,3/28/2025,Kadcyla use in metastatic patients,Currently Kadcyla is indictaed to patients in the adjuvent setting in Sousse and not to patients in the metastatic indictation. According to Dr Ben Fatma this is due mainly to lack of knowledge and training. A staff meeting will be organised by Roche in the concerned center to address this matter.,Medical Education & Practice,Kadcyla,"Ben Fatma Sassi, Leila",Hôpital Farhat Hached - Oncology Dept,Tunisia,Oncology,Ayoub Timoumi,0,1,0,0,1,0,0,0,1
a3XS7000000CcUXMA0,3/28/2025,Adhoc Phesgo,"For the planned adhoc meeting to discuss the larketing approval of Phesgo, the experts including Dr Ben Fatma did not receive yet the agenda nor the confirmation of the day of the meeting.",Strategic Partnership,Phesgo,"Ben Fatma Sassi, Leila",Hôpital Farhat Hached - Oncology Dept,Tunisia,Oncology,Ayoub Timoumi,0,1,0,0,0,0,0,1,1
a3XS7000000D3phMAC,4/4/2025,STOM days,Dr Balti as the head of STOM is planning an educational event by mid June and requested our participation.,Medical Education & Practice,General/other,"Balti, Mehdi",Hôpital Militaire de Tunis - Oncology Dept,Tunisia,Oncology,Ayoub Timoumi,0,1,0,0,1,0,0,0,1
a3XS7000000D3piMAC,4/4/2025,STOM & CNAM discussion,Dr Balti explained that he plans to discuss reimboursment and access to innovation with CNAM as the president of STOM. He requested our input and we aligned to further discuss this on April 15 during our planned meeting.,Access & Policy,General/other,"Balti, Mehdi",Hôpital Militaire de Tunis - Oncology Dept,Tunisia,Oncology,Ayoub Timoumi,0,1,1,0,0,0,0,0,1
a3XS7000000D3svMAC,4/4/2025,Phesgo Adhoc meeting,Dr Mejri confirmed that she will participate in the Phesgo adhoc meeting planned on the 22 April to discuss the MAH in Tunisia.,Strategic Partnership,Phesgo,"Mejri, Nesrine Turki",Hôpital Abderrahmen Mami De Pneumo-Phtisiologie - Oncology Dept,Tunisia,Oncology,Ayoub Timoumi,0,1,0,0,0,0,0,1,1
a3XS7000000D3swMAC,4/4/2025,Perjeta in neoadjuvant,Dr Mejri confirmed that she has a very good experience with Perjeta in the neoadjuvant indication and that it is prescribed to all eligible patients. The PCR rate is around 60% for patients under the double blocage.,Medical Education & Practice,Perjeta,"Mejri, Nesrine Turki",Hôpital Abderrahmen Mami De Pneumo-Phtisiologie - Oncology Dept,Tunisia,Oncology,Ayoub Timoumi,0,1,0,0,1,0,0,0,0
a3XS7000000D3sxMAC,4/4/2025,Perjeta in adjuvant,No patients received the double blocage in the adjuvant setting currently.,Access & Policy,Perjeta,"Mejri, Nesrine Turki",Hôpital Abderrahmen Mami De Pneumo-Phtisiologie - Oncology Dept,Tunisia,Oncology,Ayoub Timoumi,0,1,1,0,0,0,0,0,0
a3XS7000000D3syMAC,4/4/2025,Kadcyla use,"Dr Mejri confirmed that kadcyla is being used mainly in the adjuvant indication for PCR-. 
For the metastatic patients TDx is being used in the second line",Competitor Intelligence,Kadcyla,"Mejri, Nesrine Turki",Hôpital Abderrahmen Mami De Pneumo-Phtisiologie - Oncology Dept,Tunisia,Oncology,Ayoub Timoumi,0,1,0,1,0,0,0,0,0
a3XS7000000D3szMAC,4/4/2025,Abderahman Mami educational sessions,"I discussed with Dr Mejri an educational program for the second half of 2025 for the medical staff on clinical and practical cases where Roche products are used. This includes BC, LC and CHC.",Medical Education & Practice,General/other,"Mejri, Nesrine Turki",Hôpital Abderrahmen Mami De Pneumo-Phtisiologie - Oncology Dept,Tunisia,Oncology,Ayoub Timoumi,0,1,0,0,1,0,0,0,1
a3XS7000000DQHdMAO,4/10/2025,A new association to fight Lung cancer will soon be launched,"Dr Mourad Zarrouk reported that he with other HCPs and persons from other field will launch soon a new association against lung cancer, he is counting on our help to succeed some of their actions",Strategic Partnership,General/other,"Zarrouk, Mourad",Dr Mourad Zarrouk,Tunisia,Oncology,Moez Ben Brahim,0,1,0,0,0,0,0,1,0
a3XS7000000DabxMAC,4/14/2025,MDTs in CHU Bourguiba Sfax,MDTs are performed on a weekly basis in the public hospital of Sfax. Only difficult cases are discussed.,Medical Education & Practice,General/other,"Fekih ep Cherif, Ameni",Hôpital Habib Bourguiba de Sfax - Oncology Dept,Tunisia,Oncology,Ayoub Timoumi,0,1,0,0,1,0,0,0,0
a3XS7000000DabxMAC,4/14/2025,MDTs in CHU Bourguiba Sfax,MDTs are performed on a weekly basis in the public hospital of Sfax. Only difficult cases are discussed.,Medical Education & Practice,General/other,"Feki, Jihène",Hôpital Habib Bourguiba de Sfax - Oncology Dept,Tunisia,Oncology,Ayoub Timoumi,0,1,0,0,1,0,0,0,0
a3XS7000000DabxMAC,4/14/2025,MDTs in CHU Bourguiba Sfax,MDTs are performed on a weekly basis in the public hospital of Sfax. Only difficult cases are discussed.,Medical Education & Practice,General/other,"Khanfir, Afef",Hôpital Habib Bourguiba de Sfax - Oncology Dept,Tunisia,Oncology,Ayoub Timoumi,0,1,0,0,1,0,0,0,0
a3XS7000000DabxMAC,4/14/2025,MDTs in CHU Bourguiba Sfax,MDTs are performed on a weekly basis in the public hospital of Sfax. Only difficult cases are discussed.,Medical Education & Practice,General/other,"Khmiri, Souhir",Hôpital Habib Bourguiba de Sfax - Oncology Dept,Tunisia,Oncology,Ayoub Timoumi,0,1,0,0,1,0,0,0,0
a3XS7000000DabxMAC,4/14/2025,MDTs in CHU Bourguiba Sfax,MDTs are performed on a weekly basis in the public hospital of Sfax. Only difficult cases are discussed.,Medical Education & Practice,General/other,"Daoud, Emna",Hôpital Habib Bourguiba de Sfax - Radiology Dept,Tunisia,Oncology,Ayoub Timoumi,0,1,0,0,1,0,0,0,0
a3XS7000000DabxMAC,4/14/2025,MDTs in CHU Bourguiba Sfax,MDTs are performed on a weekly basis in the public hospital of Sfax. Only difficult cases are discussed.,Medical Education & Practice,General/other,"Chaabane, Kais",Hôpital Habib Bourguiba de Sfax - Obstetrics & Gynaecology Dept,Tunisia,Oncology,Ayoub Timoumi,0,1,0,0,1,0,0,0,0
a3XS7000000DabxMAC,4/14/2025,MDTs in CHU Bourguiba Sfax,MDTs are performed on a weekly basis in the public hospital of Sfax. Only difficult cases are discussed.,Medical Education & Practice,General/other,"Ben Kridiss, Wala",Hôpital Habib Bourguiba de Sfax - Oncology Dept,Tunisia,Oncology,Ayoub Timoumi,0,1,0,0,1,0,0,0,0
a3XS7000000DabxMAC,4/14/2025,MDTs in CHU Bourguiba Sfax,MDTs are performed on a weekly basis in the public hospital of Sfax. Only difficult cases are discussed.,Medical Education & Practice,General/other,"Trigui, Khaled",Hôpital Habib Bourguiba de Sfax - Obstetrics & Gynaecology Dept,Tunisia,Oncology,Ayoub Timoumi,0,1,0,0,1,0,0,0,0
a3XS7000000DabxMAC,4/14/2025,MDTs in CHU Bourguiba Sfax,MDTs are performed on a weekly basis in the public hospital of Sfax. Only difficult cases are discussed.,Medical Education & Practice,General/other,"Sellami Boudawara, Tahya",Hôpital Habib Bourguiba De Sfax - Pathology Dept,Tunisia,Oncology,Ayoub Timoumi,0,1,0,0,1,0,0,0,0
